1529
BUS;2_3012;-1612365;48088281;Bourgogne;bourgogne;
BUS;2_3013;-1614696;48085864;Deux Ruisseaux;deuxruisseaux;
BUS;2_3010;-1616915;48088157;Chantepie Eglise;chantepieeglise;
BUS;2_3011;-1615324;48090437;Hallouvry;hallouvry;
BUS;2_1622;-1679998;48084150;Alma;alma;
BUS;2_1623;-1678850;48083999;Alma;alma;
BUS;2_2749;-1701130;48055903;Touche Tizon;touchetizon;
BUS;2_3006;-1620549;48088799;Chantepie Mairie;chantepiemairie;
BUS;2_3005;-1616907;48088221;Chantepie Eglise;chantepieeglise;
BUS;2_3004;-1615868;48090344;Hallouvry;hallouvry;
BUS;2_3003;-1612639;48089118;Bourgogne;bourgogne;
BUS;2_3009;-1619117;48088413;Chantepie Mairie;chantepiemairie;
BUS;2_3008;-1624104;48090372;Loges;loges;
BUS;2_3007;-1623879;48090408;Loges;loges;
BUS;2_3021;-1627556;48084611;Rocade Sud;rocadesud;
BUS;2_3022;-1615283;48091040;Hallouvry;hallouvry;
BUS;2_3023;-1612914;48092569;IDEFS;idefs;
BUS;2_3024;-1631860;48076924;Martinière;martiniere;
BUS;2_3020;-1630641;48080668;Val Blanc;valblanc;
BUS;2_4009;-1548606;48136866;Pont d'Ohin;pontdohin;
BUS;2_4008;-1559476;48139086;Boulais;boulais;
BUS;2_4950;-1931062;48284760;Miniac Eglise;miniaceglise;
BUS;2_4004;-1537769;48133913;Foyer;foyer;
BUS;2_4007;-1558787;48139059;Boulais;boulais;
BUS;2_4006;-1549564;48137198;Pont d'Ohin;pontdohin;
BUS;2_4011;-1537629;48133882;Foyer;foyer;
BUS;2_4012;-1534718;48134170;Acigné Mairie;acignemairie;
BUS;2_4013;-1532945;48137163;Verdaudais;verdaudais;
BUS;2_4010;-1541925;48134483;Lande;lande;
BUS;2_3225;-1684893;47962608;ZA L'Hermitière;zalhermitiere;
BUS;2_3019;-1630800;48080491;Val Blanc;valblanc;
BUS;2_3018;-1627160;48085465;Rocade Sud;rocadesud;
BUS;2_3015;-1622960;48098130;Breillou;breillou;
BUS;2_3014;-1622792;48098284;Breillou;breillou;
BUS;2_3017;-1612951;48092531;IDEFS;idefs;
BUS;2_3016;-1607606;48093570;Cucé;cuce;
BUS;2_3032;-1610748;48085172;Gériatrie;geriatrie;
BUS;2_3418;-1547250;48021833;Le Tertronais;letertronais;
BUS;2_3419;-1551439;48028990;L'Ourmais;lourmais;
BUS;2_3416;-1545877;48011952;Le Petit Beauvais;lepetitbeauvais;
BUS;2_3221;-1665247;47993726;Chateaubriand;chateaubriand;
BUS;2_3417;-1539618;48015097;Epron;epron;
BUS;2_6001;-1891413;48215998;Frères Aubert;freresaubert;
BUS;2_3414;-1570634;48013183;La Jaunais;lajaunais;
BUS;2_6000;-1893833;48218908;Romillé Collège;romillecollege;
BUS;2_3415;-1557325;48012600;La Jaille;lajaille;
BUS;2_3220;-1667897;47992250;Surcouf;surcouf;
BUS;2_6003;-1892046;48214157;Romillé Mairie;romillemairie;
BUS;2_4018;-1540453;48133962;Lande;lande;
BUS;2_3412;-1564260;48029304;La Croix de l'Epine;lacroixdelepine;
BUS;2_6002;-1891703;48215591;Frères Aubert;freresaubert;
BUS;2_3413;-1573239;48024052;La Drouais;ladrouais;
BUS;2_6005;-1891408;48213221;Mettrie Templiers;mettrietempliers;
BUS;2_3410;-1549777;48040907;Langlois;langlois;
BUS;2_6004;-1892143;48214147;Romillé Mairie;romillemairie;
BUS;2_3411;-1559262;48031030;Crotigné;crotigne;
BUS;2_3219;-1670902;47994941;Coteau;coteau;
BUS;2_3218;-1669005;47996894;Groupe Scolaire;groupescolaire;
BUS;2_3217;-1667062;48000451;Levant;levant;
BUS;2_3216;-1666374;48009133;Plardière;plardiere;
BUS;2_3213;-1666350;48009079;Plardière;plardiere;
BUS;2_3212;-1666819;48000740;Levant;levant;
BUS;2_3029;-1607474;48085733;Touche Annette;toucheannette;
BUS;2_3028;-1604087;48085766;Rosa Parks;rosaparks;
BUS;2_3027;-1608136;48085761;Touche Annette;toucheannette;
BUS;2_3025;-1631766;48076775;Martinière;martiniere;
BUS;2_2516;-1794919;48101776;Bouleaux;bouleaux;
BUS;2_2517;-1796708;48099395;Brassens;brassens;
BUS;2_2518;-1802094;48099274;Champs Freslons;champsfreslons;
BUS;2_2519;-1806907;48100845;Lycée Monod;lyceemonod;
BUS;2_2909;-1712477;48036817;Taillebois;taillebois;
BUS;2_2510;-1750437;48103867;Plessix Saucourt;plessixsaucourt;
BUS;2_2511;-1751130;48103641;Plessix Saucourt;plessixsaucourt;
BUS;2_2512;-1764648;48096234;Pont d'Avoine;pontdavoine;
BUS;2_2513;-1775952;48096975;Les Pins;lespins;
BUS;2_2514;-1781435;48097636;Barberais;barberais;
BUS;2_2515;-1790651;48099245;Genêts;genets;
BUS;2_2902;-1713521;48047863;Croix aux Potiers;croixauxpotiers;
BUS;2_2901;-1710615;48046759;Croix aux Potiers;croixauxpotiers;
BUS;2_2904;-1712434;48036945;Taillebois;taillebois;
BUS;2_2903;-1711649;48033253;Chaussairie;chaussairie;
BUS;2_2906;-1710176;48045932;Croix aux Potiers;croixauxpotiers;
BUS;2_2711;-1663828;48056587;Croix Fleurie;croixfleurie;
BUS;2_2905;-1712088;48042260;Callouët;callouet;
BUS;2_2710;-1661083;48047114;Petite Saudrais;petitesaudrais;
BUS;2_2908;-1712456;48041407;Callouët;callouet;
BUS;2_2713;-1665754;48068356;Petit Beaulieu;petitbeaulieu;
BUS;2_2907;-1710435;48045660;Croix aux Potiers;croixauxpotiers;
BUS;2_2712;-1663766;48063666;Mail Lancé;maillance;
BUS;2_2715;-1661227;48078641;Hil-Bintinais;hilbintinais;
BUS;2_2714;-1661140;48077193;Hil-Bintinais;hilbintinais;
BUS;2_2717;-1663859;48063653;Mail Lancé;maillance;
BUS;2_2716;-1665952;48068619;Petit Beaulieu;petitbeaulieu;
BUS;2_2719;-1661119;48047067;Petite Saudrais;petitesaudrais;
BUS;2_2718;-1664136;48055971;Croix Fleurie;croixfleurie;
BUS;2_2507;-1781333;48097550;Barberais;barberais;
BUS;2_2508;-1775581;48096875;Les Pins;lespins;
